Mural Registration ID,Image Link,Image
19435,https://www.themagnificentmile.com/hubfs/undercurrent2.jpg,#VALUE!
19027,,#VALUE!
19052,https://fastly.4sqi.net/img/general/100x100/20759371_jWbBYdBJBM-cLzwbK5vJx_Uqq-bKzfJxUv9rwPHIh_4.jpg,#VALUE!
19327,,#VALUE!
19416,https://images.squarespace-cdn.com/content/v1/5a58e8494c326d6039139c15/1695435141609-BWEZXINZB7NNQ04RLIA1/14B8F3C7-F624-4521-B2BC-52614EAFE86B.jpeg?format=750w,Picture
19217,https://live.staticflickr.com/65535/51872689990_eebb1bb023_n.jpg,Picture
19439,,#VALUE!
19197,https://images.fnewsmagazine.com/2017/07/DSC_7359.jpg,Picture
19145,,#VALUE!
19322,,#VALUE!
19433,,#VALUE!
19424,https://img-cache.oppcdn.com/img/v1.0/s:38127/t:QkxBTksrVEVYVCtIRVJF/p:12/g:tl/o:2.5/a:50/q:90/984x588-zLmeO0SmgH9z2DXu.jpg/984x440/fc5e868df2ed073aab1f39574a7a635e.jpg,Picture
19330,,#VALUE!
19456,,#VALUE!
19091,,#VALUE!
19110,https://aec00b1f41d2312b8080.cdn6.editmysite.com/uploads/b/aec00b1f41d2312b8080da39d210eb208b1fc0768175e1ae5fae8ca3a7fd13d2/tony-passero-coywolf-mural-606trail-midstreet_1661785277.jpg?width=2400&optimize=medium,Picture
19209,https://live.staticflickr.com/4303/35061578654_fb94d04d85_z.jpg,Picture
19005,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEimZgsknrmLhESYLEngWnUu08rIN6Khm6zI0HsYnLBiIJZZdgwR0GHDxmuMykFe6__QGeIET3CEArjNPzcoCI3ATXkWuSVqBeDLWxfVRCnyvseH-rpG5rxWFnebEDazc1SCkt3NRhiFxcQ5/s400/LI-sculp-mural-005b.jpg,Picture
19042,"https://static.wixstatic.com/media/07e918_87d9bc2d3e774db9ace657b8a2330d81~mv2.jpg/v1/crop/x_0,y_0,w_21777,h_1800/fill/w_1258,h_104,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/484mrl.jpg",Picture
19208,https://loopchicago.com/assets/Tourism-Operators/images/21_Morley_Penny-for-your-Thoughts.jpeg,Picture
19446,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/246382664_6254249491316541_2946626320603174110_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=vp4jvdOZ6j8Q7kNvgE-Dn8E&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&_nc_gid=AIFwqFhP7KneB47IiCqRRQ7&oh=00_AYCkMsn2MvXFNDAIjFcGB862eUW3Zi_wS6FQHy7laXLYkQ&oe=675BCDCA,#VALUE!
19332,,#VALUE!
19207,https://loopchicago.com/assets/Uploads/20_Never-2501_The-Buckingham__FillWzEyMDAsMTIwMF0.jpg,Picture
19188,https://www.sourharvest.com/wp-content/uploads/2016/05/Ricky-Lee-Gordon-Mural-1.jpeg,Picture
19193,https://pbs.twimg.com/media/Dfq7BdcVQAAm6B-.jpg,Picture
19144,https://arthur.io/img/art/jpg/0017344bddd401356/cole-pierce/triangle-is-the-strongest-shape-7/large/cole-pierce--triangle-is-the-strongest-shape-7.jpg,Picture
19211,https://motownsavvy.com/wp-content/uploads/2019/05/urbsinhorto.jpg,#VALUE!
19395,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4o2lcAWqDOR9MVVwFuGyX4Qj9R6yf4LQf1Q&s,#VALUE!
19401,https://images.squarespace-cdn.com/content/v1/5e87658adfbb5a514c43d021/5bbf0747-19f5-4d6f-a40a-661908056419/IMG_6346.jpeg?format=1500w,Picture
19423,https://img-cache.oppcdn.com/fixed/38127/assets/SRYj4Md5pcAZtAbQ.jpg,Picture
19038,,#VALUE!
